province,province_en,year,data_type,gdp_billion_yuan,urbanization_rate_pct,tertiary_share_pct,fai_billion_yuan,fai_gdp_ratio,avg_house_price,total_pop_10k,total_gdp_100m,total_fai_100m,per_capita_area_m2,V_billion,K_billion,urban_q,source
北京,Beijing,2005,actual,6969.5,83.6,69.8,2827.1,0.4056388550111198,,1838.8845962291,6886.3101,2827.2,25.439999999999998,,13227.934875661473,,中国统计年鉴2006年
北京,Beijing,2006,interpolated,8398.32,84.08,70.94,3414.84,0.4062166729443907,,1865.2055496264672,7870.2835,3371.5013,26.528,,15981.378131878399,,线性插值（基于相邻实际年份数据）
北京,Beijing,2007,interpolated,9827.14,84.56,72.08,4002.58,0.4067944908776616,,1889.5952614727855,9353.32,3966.5657,27.616,,19184.889225284478,,线性插值（基于相邻实际年份数据）
北京,Beijing,2008,interpolated,11255.96,85.03999999999999,73.22,4590.32,0.4073723088109324,,2024.4551049448594,10488.05,3848.5466,28.704,,22815.964764020253,,线性插值（基于相邻实际年份数据）
北京,Beijing,2009,interpolated,12684.78,85.52,74.36,5178.0599999999995,0.4079501267442033,,1940.3215012451083,12153.0,4858.4051,29.791999999999998,,26853.226525819242,,线性插值（基于相邻实际年份数据）
北京,Beijing,2010,actual,14113.6,86.0,75.5,5765.8,0.4085279446774742,24535.0,1958.9642120241906,14113.58,5493.5179,30.88,14841.912127693773,31276.365199528278,0.47454082445352774,中国统计年鉴2011年
北京,Beijing,2011,interpolated,15893.8,86.1,76.36,6210.72,0.3962600170526256,24964.0,1990.2690145855568,16251.93,5851.5201,31.968,15883.324993418792,35923.26693955186,0.4421458944740657,线性插值（基于相邻实际年份数据）
北京,Beijing,2012,interpolated,17674.0,86.2,77.22,6655.64,0.3839920894277771,29916.0,2020.795090715048,17879.4,6416.5795,33.056,19983.709257487302,40782.74359257427,0.4900040433063444,线性插值（基于相邻实际年份数据）
北京,Beijing,2013,interpolated,19454.2,86.3,78.08,7100.5599999999995,0.3717241618029285,40019.0,2050.0752045535396,19500.56,6982.6696,34.144,28012.406689589432,45844.16641294555,0.6110353591614056,线性插值（基于相邻实际年份数据）
北京,Beijing,2014,interpolated,21234.4,86.4,78.94,7545.48,0.35945623417808,36995.0,2076.707648523657,21330.83,7511.4785,35.232,27067.97030473699,51097.43809229827,0.5297324350360503,线性插值（基于相邻实际年份数据）
北京,Beijing,2015,actual,23014.6,86.5,79.8,7990.4,0.3471883065532314,39121.0,2095.085592315902,23014.59,7940.9699,36.32,29768.541543578915,56532.966187683356,0.5265696026766147,中国统计年鉴2016年
北京,Beijing,2016,interpolated,26103.775,86.525,80.725,7947.125,0.315642945288687,57136.0,2122.8082532906437,25669.13,7888.7,37.408,45371.70396443412,61653.44287829919,0.7359151710958882,线性插值（基于相邻实际年份数据）
