country,year,AR1
CHN,1968,0.902779870935586
CHN,1969,0.990078276894569
CHN,1970,0.9679043586031318
CHN,1971,0.9774488745291227
CHN,1972,0.9660311080503582
CHN,1973,0.9293551473245619
CHN,1974,0.9741581646327755
CHN,1975,0.9490463275545278
CHN,1976,0.95763895001826
CHN,1977,0.9396036813917176
CHN,1978,0.9357401922821003
CHN,1979,0.44801001035226296
CHN,1980,-0.012877451803542621
CHN,1981,-0.1410125499039093
CHN,1982,-0.1328685123283821
CHN,1983,-0.1471341439200335
CHN,1984,-0.28166757805574066
CHN,1985,-0.642027833624122
CHN,1986,0.31074848373974884
CHN,1987,-0.6095794026193815
CHN,1988,0.43536140406472895
CHN,1989,0.5969932106697365
CHN,1990,0.5663342333886034
CHN,1991,0.5557029709246658
CHN,1992,0.49265700957930736
CHN,1993,0.3507951616643421
CHN,1994,-0.09814639666384242
CHN,1995,0.13936816063460222
CHN,1996,0.2741013066774377
CHN,1997,0.7270963623089484
CHN,1998,0.8054027173514581
CHN,1999,0.823431939740619
CHN,2000,0.8100455749815904
CHN,2001,0.8785877419037761
CHN,2002,0.598617024289786
CHN,2003,0.0525504109471006
CHN,2004,0.5132635964962426
CHN,2005,0.32204844011395584
CHN,2006,0.8274306537647419
CHN,2007,0.9533787499628562
CHN,2008,0.9722132052966551
CHN,2009,0.9885564676132695
CHN,2010,0.877619723199188
CHN,2011,0.871382240360171
CHN,2012,0.8449829143790419
CHN,2013,0.7832137527404542
CHN,2014,0.5522968823403072
CHN,2015,-0.2868447132881292
CHN,2016,0.34192786507241274
CHN,2017,0.7578162777688873
CHN,2018,0.8241910040516232
CHN,2019,0.8764097738666999
JPN,1978,0.37443531496126314
JPN,1979,0.39994358025380533
JPN,1980,0.20924517853292565
JPN,1981,0.1866332439242741
JPN,1982,0.2707169201513856
JPN,1983,0.4319144585951587
JPN,1984,0.6201798767828205
JPN,1985,0.7360493377849976
JPN,1986,0.9445943110934711
JPN,1987,0.39455021849943783
JPN,1988,0.4368231042393672
JPN,1989,0.5996546140955791
JPN,1990,0.6383863313580191
JPN,1991,0.5648037095808898
JPN,1992,0.5078084892301236
JPN,1993,0.3272307576715107
JPN,1994,0.644713891479276
JPN,1995,0.6332707075202696
JPN,1996,0.4017690779485019
JPN,1997,-0.07853280117939906
JPN,1998,0.5747127746924079
JPN,1999,0.8111336417489838
JPN,2000,0.8014476287225867
JPN,2001,0.826726564401408
JPN,2002,0.7979735640073926
JPN,2003,0.7737005972510392
JPN,2004,0.5171493364091949
JPN,2005,0.3529897936043274
JPN,2006,0.4137763850574251
JPN,2007,0.5913449700752403
JPN,2008,0.49010113077279105
JPN,2009,0.2341988260967602
JPN,2010,0.33600941641355647
JPN,2011,0.5559221818315261
JPN,2012,0.7043437422908515
JPN,2013,0.7724612218421283
JPN,2014,0.4319428956013978
JPN,2015,0.5289756694340917
JPN,2016,0.7758100068435351
JPN,2017,0.8037520489890644
JPN,2018,0.8169383069231715
JPN,2019,0.8234187817910718
